New Terminal Output:

root@06c2906a173f:/home/user/admin# head -10 export.csv
username,uid,primary_group,email,shell,supplementary_groups
aadams,1482,engineering,aadams@corp.local,/bin/sh,engineering;analytics;database
aconner,1042,engineering,aconner@corp.local,/bin/bash,engineering;devops;contractors
adiaz,1781,devops,adiaz@corp.local,/bin/bash,devops;support;partnerships;automation;localization
agonzales,1329,hr,agonzales@corp.local,/bin/sh,hr;database;accessibility;api
ajackson,1210,engineering,ajackson@corp.local,/bin/bash,engineering;executives;backend;localization
aking,1381,engineering,aking@corp.local,/usr/bin/fish,engineering;integrations
alex31,1322,marketing,alex31@corp.local,/bin/bash,engineering;marketing;facilities
alex_castillo,1425,security,alex_castillo@corp.local,/bin/sh,security
alexr,1048,devops,alexr@corp.local,/bin/bash,devops
root@06c2906a173f:/home/user/admin#
