New Terminal Output:

head -20 export.csv
root@eeb139b0a696:/home/user/admin# head -20 export.csv
username,uid,primary_group,email,shell,supplementary_groups
rgomez,1001,finance,rgomez@corp.local,/bin/bash,finance;marketing;communications;reliability
sharon45,1002,support,sharon45@corp.local,/bin/zsh,support;customer_success
larryp,1003,sales,larryp@corp.local,/usr/bin/fish,sales
wardl,1004,security,wardl@corp.local,/bin/bash,security;training;performance;tools
mfisher,1005,interns,mfisher@corp.local,/bin/bash,interns
dtorres,1006,interns,dtorres@corp.local,/bin/bash,interns
betty_lee,1007,devops,betty_lee@corp.local,/bin/bash,devops;it;procurement;accessibility;tools
taylor_hughes,1008,security,taylor_hughes@corp.local,/bin/bash,finance;security;it
nancy.carter,1009,security,nancy.carter@corp.local,/bin/bash,security;qa;backend
breyes,1010,devops,breyes@corp.local,/usr/bin/fish,devops;integrations
samantha_nelson,1011,interns,samantha_nelson@corp.local,/bin/bash,interns
kennethr,1012,finance,kennethr@corp.local,/bin/bash,finance;security;product;platform
casey_chavez,1013,security,casey_chavez@corp.local,/bin/bash,security
jacob.turner,1014,security,jacob.turner@corp.local,/bin/zsh,security;partnerships;customer_success
kward,1015,marketing,kward@corp.local,/bin/bash,marketing;facilities
michelle92,1016,interns,michelle92@corp.local,/bin/bash,interns;cloud;api
amanda_williams,1017,sales,amanda_williams@corp.local,/bin/sh,engineering;sales
caseyb,1018,engineering,caseyb@corp.local,/bin/tcsh,engineering;mobile;web
jeffrey.peterson,1019,support,jeffrey.peterson@corp.local,/bin/bash,research;support;innovation;data_science;database
root@eeb139b0a696:/home/user/admin# head -20 export.csv
username,uid,primary_group,email,shell,supplementary_groups
rgomez,1001,finance,rgomez@corp.local,/bin/bash,finance;marketing;communications;reliability
sharon45,1002,support,sharon45@corp.local,/bin/zsh,support;customer_success
larryp,1003,sales,larryp@corp.local,/usr/bin/fish,sales
wardl,1004,security,wardl@corp.local,/bin/bash,security;training;performance;tools
mfisher,1005,interns,mfisher@corp.local,/bin/bash,interns
dtorres,1006,interns,dtorres@corp.local,/bin/bash,interns
betty_lee,1007,devops,betty_lee@corp.local,/bin/bash,devops;it;procurement;accessibility;tools
taylor_hughes,1008,security,taylor_hughes@corp.local,/bin/bash,finance;security;it
nancy.carter,1009,security,nancy.carter@corp.local,/bin/bash,security;qa;backend
breyes,1010,devops,breyes@corp.local,/usr/bin/fish,devops;integrations
samantha_nelson,1011,interns,samantha_nelson@corp.local,/bin/bash,interns
kennethr,1012,finance,kennethr@corp.local,/bin/bash,finance;security;product;platform
casey_chavez,1013,security,casey_chavez@corp.local,/bin/bash,security
jacob.turner,1014,security,jacob.turner@corp.local,/bin/zsh,security;partnerships;customer_success
kward,1015,marketing,kward@corp.local,/bin/bash,marketing;facilities
michelle92,1016,interns,michelle92@corp.local,/bin/bash,interns;cloud;api
amanda_williams,1017,sales,amanda_williams@corp.local,/bin/sh,engineering;sales
caseyb,1018,engineering,caseyb@corp.local,/bin/tcsh,engineering;mobile;web
jeffrey.peterson,1019,support,jeffrey.peterson@corp.local,/bin/bash,research;support;innovation;data_science;database
root@eeb139b0a696:/home/user/admin#
